nucleus_id,Cell_ID,Total_Intensity,Nuclear_Volume,true_ploidy
1,1,5792.8,101.339,8
2,1,5688.38,113.492,8
3,1,8655.21,100.506,8
4,1,6081.41,124.744,8
5,2,1691.07,32.628,2
6,2,3131.16,36.858,4
7,2,2440.65,53.177,4
8,3,1080.7,24.871,2
9,3,1735.03,19.997,2
10,3,1745.52,22.577,2
11,3,4115.4,46.885,4
12,4,1530.48,27.32,2
13,4,1734.14,28.396,2
14,4,1363.59,28.473,2
15,5,1736.92,24.315,2
16,5,2436.84,33.112,2
17,6,1643.2,32.539,2
18,6,1916.95,38.424,2
19,6,1763.31,25.287,2
20,6,1372.91,24.65,2
21,7,1339.63,23.509,2
22,7,1909.94,18.063,2
23,8,7698.42,104.221,8
24,8,3250.28,78.298,4
25,8,6438.27,121.034,8
26,9,3392.96,50.793,4
27,9,4194.1,64.653,4
28,9,3385.26,64.871,4
29,10,7552.9,84.31,8
30,10,1254.52,17.893,2
31,10,5783.08,116.116,8
32,10,5854.51,97.635,8
33,11,3276.28,65.359,4
34,11,3733.55,44.609,4
35,12,1406.1,29.647,2
36,12,1456.73,34.676,2
37,12,1760.02,28.556,2
38,12,1528.43,27.279,2
39,13,1979.84,19.069,2
40,13,2920.01,66.469,4
41,14,2128.62,38.451,2
42,14,1679.98,26.363,2
43,14,1651.78,22.594,2
44,14,2071.71,24.848,2
45,15,2701.44,73.84,4
46,15,3306.99,69.259,4
47,15,3408.16,48.066,4
48,15,3205.83,49.506,4
49,16,3177.92,52.424,4
50,16,2652.84,46.892,4
51,16,4579.12,48.312,4
52,16,2812.4,60.314,4
53,17,3034.38,38.013,4
54,17,3880.88,55.712,4
55,17,3444.0,47.458,4
56,17,3690.04,49.735,4
57,18,5463.14,150.252,8
58,18,6206.79,119.423,8
59,18,6758.77,101.641,8
60,19,1706.81,36.272,2
61,19,1821.2,24.735,2
62,19,2016.86,34.634,2
63,19,1874.17,33.252,2
64,20,3132.29,78.151,4
65,20,2716.62,67.689,4
66,20,3716.13,67.867,4
67,20,4768.33,77.628,4
68,21,1696.21,33.681,2
69,21,1162.8,29.644,2
70,22,1711.83,23.171,2
71,22,1294.6,26.992,2
72,23,1681.32,30.62,2
73,23,1422.7,24.226,2
74,24,7043.44,94.278,8
75,24,7250.09,120.692,8
76,24,9790.88,82.441,8
77,25,3129.71,65.947,4
78,25,3449.97,52.531,4
79,25,6773.77,69.021,8
80,26,1502.58,24.918,2
81,26,1714.48,21.634,2
82,26,4167.37,57.976,4
83,26,1683.72,28.238,2
84,27,7455.28,96.348,8
85,27,2704.69,54.33,4
86,27,5357.44,163.585,8
87,28,7813.34,121.73,8
88,28,4248.14,118.343,8
89,29,6585.27,145.457,8
90,29,13586.41,313.569,16
91,30,4903.29,158.175,8
92,30,8088.98,137.031,8
93,30,7670.06,114.747,8
94,31,1716.7,39.049,2
95,31,1878.84,27.642,2
96,32,7449.35,113.677,8
97,32,2784.72,55.182,4
98,32,6336.12,106.538,8
99,33,6517.89,92.808,8
100,33,7973.69,94.535,8
101,33,7544.29,156.628,8
102,33,6426.79,98.116,8
103,34,2843.18,61.976,4
104,34,4886.95,52.909,4
105,35,2785.78,74.208,4
106,35,4130.59,78.313,4
107,36,9663.23,107.256,8
108,36,6111.56,83.162,8
109,37,2914.82,50.121,4
110,37,3276.64,58.705,4
111,37,1610.99,27.754,2
112,37,1674.5,31.28,2
113,38,2509.98,60.99,4
114,38,10553.35,270.336,16
115,38,3309.46,38.442,4
116,39,1767.69,23.588,2
117,39,1682.92,26.932,2
118,39,3471.96,43.473,4
119,40,8266.22,100.908,8
120,40,7459.86,108.793,8
121,40,6340.37,103.948,8
122,40,5381.54,81.52,8
123,41,2035.9,19.123,2
124,41,1476.22,29.101,2
125,41,1824.32,25.771,2
126,41,2045.99,29.326,2
127,42,15721.9,248.065,16
128,42,9662.37,301.311,16
129,42,15145.67,301.021,16
130,42,12692.4,209.891,16
131,43,12104.26,232.221,16
132,43,12694.31,278.125,16
133,44,1806.39,22.254,2
134,44,1553.24,25.31,2
135,45,2826.21,42.168,4
136,45,7971.24,80.001,8
137,46,5703.25,135.132,8
138,46,6194.44,155.73,8
139,46,5909.44,121.94,8
140,47,3306.46,63.947,4
141,47,3371.18,44.101,4
142,47,3338.1,56.644,4
143,48,1688.01,19.171,2
144,48,1911.52,22.071,2
145,48,1228.12,27.638,2
146,49,2974.23,43.679,4
147,49,3640.32,46.887,4
148,49,2985.9,63.668,4
149,49,2967.69,61.594,4
150,50,9773.64,337.347,16
151,50,14210.45,222.475,16
152,50,13722.18,340.854,16
153,50,10275.13,179.292,16
154,51,2859.76,41.242,4
155,51,3189.65,76.051,4
156,52,2801.46,70.403,4
157,52,2800.36,52.592,4
158,53,7882.36,102.528,8
159,53,5814.13,73.837,8
160,53,6334.84,111.241,8
161,54,3359.68,55.526,4
162,54,2378.9,27.169,2
163,55,1682.15,22.257,2
164,55,1668.5,29.583,2
165,55,2982.82,45.459,4
166,55,3080.21,58.957,4
167,56,5339.9,97.795,8
168,56,2340.18,57.139,4
169,57,1425.97,26.387,2
170,57,1728.29,21.484,2
171,57,1744.39,27.141,2
172,58,7387.61,118.151,8
173,58,14571.48,193.997,16
174,59,5177.62,126.07,8
175,59,2038.82,29.478,2
176,60,1077.64,30.423,2
177,60,2692.35,48.699,4
178,60,3180.45,59.44,4
179,60,2264.95,27.371,2
180,61,7341.09,122.188,8
181,61,6936.28,139.401,8
182,62,1888.48,35.439,2
183,62,3215.82,60.645,4
184,63,6732.84,119.863,8
185,63,5009.52,103.355,8
186,63,6104.02,92.608,8
187,63,4531.35,104.045,8
188,64,13563.63,264.58,16
189,64,6649.26,126.217,8
190,64,18470.99,287.538,16
191,64,14359.7,266.34,16
192,65,4836.13,54.072,4
193,65,3370.51,58.499,4
194,65,4329.93,55.628,4
195,65,4429.38,45.272,4
196,66,8207.67,80.352,8
197,66,7225.06,96.891,8
198,67,3121.13,70.226,4
199,67,4141.81,45.823,4
200,68,7679.11,118.595,8
201,68,3444.89,51.835,4
202,68,1766.7,34.25,2
203,68,6283.15,146.199,8
204,69,8961.57,108.976,8
205,69,3472.29,61.848,4
206,69,5056.13,81.648,8
207,70,1766.3,32.086,2
208,70,1859.67,23.021,2
209,70,1413.73,35.916,2
210,70,2976.36,51.823,4
211,71,1410.48,25.765,2
212,71,2681.68,34.552,2
213,71,1666.24,32.748,2
214,71,2461.98,26.597,2
215,72,1918.36,25.038,2
216,72,2312.56,31.713,2
217,72,1180.24,32.217,2
218,73,1254.0,30.36,2
219,73,1601.9,24.513,2
220,74,4232.64,59.21,4
221,74,4152.98,86.567,4
222,74,3413.86,37.668,4
223,74,2894.68,42.941,4
224,75,1808.1,20.084,2
225,75,1793.47,27.334,2
226,75,1606.69,27.554,2
227,75,1542.6,24.47,2
228,76,2428.12,37.45,2
229,76,1505.1,38.46,2
230,76,3358.11,52.525,4
231,76,3143.81,54.977,4
232,77,1678.84,26.568,2
233,77,1870.97,32.72,2
234,77,1391.18,26.753,2
235,78,6950.92,157.651,8
236,78,6019.01,114.058,8
237,78,6192.33,155.457,8
238,78,4785.49,96.647,8
239,79,2185.32,19.805,2
240,79,1945.88,26.25,2
241,80,2881.04,35.461,4
242,80,3180.81,40.279,4
243,80,3025.18,60.77,4
244,80,3596.41,79.398,4
245,81,2881.43,42.838,4
246,81,3677.16,48.589,4
247,81,2381.78,65.279,4
248,82,3465.32,64.349,4
249,82,3423.35,73.502,4
250,83,3300.72,52.895,4
251,83,10649.41,320.907,16
252,83,5467.85,76.903,8
253,84,2987.64,57.146,4
254,84,3029.4,63.226,4
255,84,2984.28,55.528,4
256,84,4055.06,98.605,4
257,85,1957.77,21.75,2
258,85,1558.06,27.818,2
259,85,1425.42,22.682,2
260,85,1560.52,17.639,2
261,86,13967.75,215.03,16
262,86,9882.4,202.272,16
263,86,15702.01,253.138,16
264,87,1531.77,21.649,2
265,87,1471.43,38.507,2
266,87,1768.73,36.134,2
267,87,1559.47,34.419,2
268,88,3903.46,50.154,4
269,88,7211.25,146.174,8
270,89,1733.85,37.408,2
271,89,1967.87,21.976,2
272,89,2479.23,33.19,2
273,90,4690.13,45.667,4
274,90,3332.68,61.967,4
275,91,6468.19,115.008,8
276,91,6640.23,87.125,8
277,91,6774.21,135.839,8
278,91,5713.66,106.214,8
279,92,1404.67,35.939,2
280,92,2446.44,26.682,2
281,92,3474.86,57.272,4
282,92,2681.36,70.634,4
283,93,6024.54,119.041,8
284,93,7763.22,112.885,8
285,93,7424.38,99.856,8
286,93,4631.23,136.524,8
287,94,1721.06,35.17,2
