Cell_ID,n_nuclei,n_distinct_ploidy,min_class,max_class,class_spread,is_mixed,is_mixed_confident,ploidy_labels,intensity_fold_range
1,4,1,3,3,0,False,False,8C,1.5215597410862143
2,3,2,1,2,1,True,True,"2C,4C",1.8515850910961698
3,4,2,1,2,1,True,True,"2C,4C",3.8080873507911535
4,3,1,1,1,0,False,False,2C,1.2717459060274718
5,2,2,1,2,1,True,False,"2C,4C",1.4029661700020726
6,4,1,1,1,0,False,False,2C,1.396267781573446
7,2,1,1,1,0,False,False,2C,1.425722027724073
8,3,2,2,3,1,True,True,"4C,8C",2.368540556505901
9,3,1,2,2,0,False,False,4C,1.2389299492505745
10,4,2,1,3,2,True,True,"2C,8C",6.020549692312597
11,2,1,2,2,0,False,False,4C,1.1395698780324026
12,4,1,1,1,0,False,False,2C,1.2517032927956762
13,2,2,1,2,1,True,False,"2C,4C",1.4748717068045905
14,4,1,1,1,0,False,False,2C,1.2886825121989611
15,4,1,2,2,0,False,False,4C,1.261608623548922
16,4,1,2,2,0,False,False,4C,1.7261199318466247
17,4,1,2,2,0,False,False,4C,1.278969674200331
18,3,1,3,3,0,False,False,8C,1.2371584839487915
19,4,1,1,1,0,False,False,2C,1.1816546657214335
20,4,2,2,3,1,True,True,"4C,8C",1.7552436483571496
21,2,1,1,1,0,False,False,2C,1.4587289301685586
22,2,1,1,1,0,False,False,2C,1.3222848756372625
23,2,1,1,1,0,False,False,2C,1.1817811204048638
24,3,2,3,4,1,True,False,"16C,8C",1.3900707608782072
25,3,2,2,3,1,True,True,"4C,8C",2.164344300270632
26,4,2,1,2,1,True,True,"2C,4C",2.7734762874522487
27,3,2,2,3,1,True,True,"4C,8C",2.75642679937442
28,2,2,2,3,1,True,True,"4C,8C",1.8392378782243521
29,2,2,3,4,1,True,True,"16C,8C",2.0631515488355068
30,3,1,3,3,0,False,False,8C,1.649704586104432
31,2,1,1,1,0,False,False,2C,1.0944486514824954
32,3,2,2,3,1,True,True,"4C,8C",2.6750804389669343
33,4,1,3,3,0,False,False,8C,1.2406955883108053
34,2,2,2,3,1,True,True,"4C,8C",1.7188324341054735
35,2,1,2,2,0,False,False,4C,1.4827409199577855
36,2,2,3,4,1,True,True,"16C,8C",1.5811396762855963
37,4,2,1,2,1,True,True,"2C,4C",2.033929447110162
38,3,2,2,4,2,True,True,"16C,4C",4.204555414784181
39,3,2,1,2,1,True,True,"2C,4C",2.063057067477955
40,4,1,3,3,0,False,False,8C,1.5360324368117675
41,4,1,1,1,0,False,False,2C,1.3859655064963217
42,4,1,4,4,0,False,False,16C,1.6271266780303382
43,2,1,4,4,0,False,False,16C,1.0487473005371661
44,2,1,1,1,0,False,False,2C,1.1629818959079088
45,2,2,2,3,1,True,True,"4C,8C",2.8204698164679907
46,3,1,3,3,0,False,False,8C,1.086124578091439
47,3,1,2,2,0,False,False,4C,1.0195738040079116
48,3,1,1,1,0,False,False,2C,1.5564602807543237
49,4,1,2,2,0,False,False,4C,1.2266510316104444
50,4,1,4,4,0,False,False,16C,1.4539567653402419
51,2,1,2,2,0,False,False,4C,1.1153558340560046
52,2,1,2,2,0,False,False,4C,1.0003928066391463
53,3,1,3,3,0,False,False,8C,1.3557247601962803
54,2,1,2,2,0,False,False,4C,1.4122829879356005
55,4,2,1,2,1,True,True,"2C,4C",1.8460952951753071
56,2,2,2,3,1,True,True,"4C,8C",2.281833021391517
57,3,1,1,1,0,False,False,2C,1.223300630448046
58,2,2,3,4,1,True,True,"16C,8C",1.9724213920334182
59,2,2,1,3,2,True,True,"2C,8C",2.539517956465014
60,4,2,1,2,1,True,True,"2C,4C",2.9513102705912915
61,2,1,3,3,0,False,False,8C,1.05836125415929
62,2,2,1,2,1,True,True,"2C,4C",1.7028615606201813
63,4,2,2,3,1,True,False,"4C,8C",1.4858353470819954
64,4,2,3,4,1,True,True,"16C,8C",2.777901601080421
65,4,2,2,3,1,True,False,"4C,8C",1.4348362710687699
66,2,1,3,3,0,False,False,8C,1.1360002546691654
