nucleus_id,Cell_ID,Total_Intensity,Nuclear_Volume,true_ploidy,ploidy_class,ploidy_label
1,1,5792.8,101.339,8,3,8C
2,1,5688.38,113.492,8,3,8C
3,1,8655.21,100.506,8,3,8C
4,1,6081.41,124.744,8,3,8C
5,2,1691.07,32.628,2,1,2C
6,2,3131.16,36.858,4,2,4C
7,2,2440.65,53.177,4,2,4C
8,3,1080.7,24.871,2,1,2C
9,3,1735.03,19.997,2,1,2C
10,3,1745.52,22.577,2,1,2C
11,3,4115.4,46.885,4,2,4C
12,4,1530.48,27.32,2,1,2C
13,4,1734.14,28.396,2,1,2C
14,4,1363.59,28.473,2,1,2C
15,5,1736.92,24.315,2,1,2C
16,5,2436.84,33.112,2,2,4C
17,6,1643.2,32.539,2,1,2C
18,6,1916.95,38.424,2,1,2C
19,6,1763.31,25.287,2,1,2C
20,6,1372.91,24.65,2,1,2C
21,7,1339.63,23.509,2,1,2C
22,7,1909.94,18.063,2,1,2C
23,8,7698.42,104.221,8,3,8C
24,8,3250.28,78.298,4,2,4C
25,8,6438.27,121.034,8,3,8C
26,9,3392.96,50.793,4,2,4C
27,9,4194.1,64.653,4,2,4C
28,9,3385.26,64.871,4,2,4C
29,10,7552.9,84.31,8,3,8C
30,10,1254.52,17.893,2,1,2C
31,10,5783.08,116.116,8,3,8C
32,10,5854.51,97.635,8,3,8C
33,11,3276.28,65.359,4,2,4C
34,11,3733.55,44.609,4,2,4C
35,12,1406.1,29.647,2,1,2C
36,12,1456.73,34.676,2,1,2C
37,12,1760.02,28.556,2,1,2C
38,12,1528.43,27.279,2,1,2C
39,13,1979.84,19.069,2,1,2C
40,13,2920.01,66.469,4,2,4C
41,14,2128.62,38.451,2,1,2C
42,14,1679.98,26.363,2,1,2C
43,14,1651.78,22.594,2,1,2C
44,14,2071.71,24.848,2,1,2C
45,15,2701.44,73.84,4,2,4C
46,15,3306.99,69.259,4,2,4C
47,15,3408.16,48.066,4,2,4C
48,15,3205.83,49.506,4,2,4C
49,16,3177.92,52.424,4,2,4C
50,16,2652.84,46.892,4,2,4C
51,16,4579.12,48.312,4,2,4C
52,16,2812.4,60.314,4,2,4C
53,17,3034.38,38.013,4,2,4C
54,17,3880.88,55.712,4,2,4C
55,17,3444.0,47.458,4,2,4C
56,17,3690.04,49.735,4,2,4C
57,18,5463.14,150.252,8,3,8C
58,18,6206.79,119.423,8,3,8C
59,18,6758.77,101.641,8,3,8C
60,19,1706.81,36.272,2,1,2C
61,19,1821.2,24.735,2,1,2C
62,19,2016.86,34.634,2,1,2C
63,19,1874.17,33.252,2,1,2C
64,20,3132.29,78.151,4,2,4C
65,20,2716.62,67.689,4,2,4C
66,20,3716.13,67.867,4,2,4C
67,20,4768.33,77.628,4,3,8C
68,21,1696.21,33.681,2,1,2C
69,21,1162.8,29.644,2,1,2C
70,22,1711.83,23.171,2,1,2C
71,22,1294.6,26.992,2,1,2C
72,23,1681.32,30.62,2,1,2C
73,23,1422.7,24.226,2,1,2C
74,24,7043.44,94.278,8,3,8C
75,24,7250.09,120.692,8,3,8C
76,24,9790.88,82.441,8,4,16C
77,25,3129.71,65.947,4,2,4C
78,25,3449.97,52.531,4,2,4C
79,25,6773.77,69.021,8,3,8C
80,26,1502.58,24.918,2,1,2C
81,26,1714.48,21.634,2,1,2C
82,26,4167.37,57.976,4,2,4C
83,26,1683.72,28.238,2,1,2C
84,27,7455.28,96.348,8,3,8C
85,27,2704.69,54.33,4,2,4C
86,27,5357.44,163.585,8,3,8C
87,28,7813.34,121.73,8,3,8C
88,28,4248.14,118.343,8,2,4C
89,29,6585.27,145.457,8,3,8C
90,29,13586.41,313.569,16,4,16C
91,30,4903.29,158.175,8,3,8C
92,30,8088.98,137.031,8,3,8C
93,30,7670.06,114.747,8,3,8C
94,31,1716.7,39.049,2,1,2C
95,31,1878.84,27.642,2,1,2C
96,32,7449.35,113.677,8,3,8C
97,32,2784.72,55.182,4,2,4C
98,32,6336.12,106.538,8,3,8C
99,33,6517.89,92.808,8,3,8C
100,33,7973.69,94.535,8,3,8C
101,33,7544.29,156.628,8,3,8C
102,33,6426.79,98.116,8,3,8C
103,34,2843.18,61.976,4,2,4C
104,34,4886.95,52.909,4,3,8C
105,35,2785.78,74.208,4,2,4C
106,35,4130.59,78.313,4,2,4C
107,36,9663.23,107.256,8,4,16C
108,36,6111.56,83.162,8,3,8C
109,37,2914.82,50.121,4,2,4C
110,37,3276.64,58.705,4,2,4C
111,37,1610.99,27.754,2,1,2C
112,37,1674.5,31.28,2,1,2C
113,38,2509.98,60.99,4,2,4C
114,38,10553.35,270.336,16,4,16C
115,38,3309.46,38.442,4,2,4C
116,39,1767.69,23.588,2,1,2C
117,39,1682.92,26.932,2,1,2C
118,39,3471.96,43.473,4,2,4C
119,40,8266.22,100.908,8,3,8C
120,40,7459.86,108.793,8,3,8C
121,40,6340.37,103.948,8,3,8C
122,40,5381.54,81.52,8,3,8C
123,41,2035.9,19.123,2,1,2C
124,41,1476.22,29.101,2,1,2C
125,41,1824.32,25.771,2,1,2C
126,41,2045.99,29.326,2,1,2C
127,42,15721.9,248.065,16,4,16C
128,42,9662.37,301.311,16,4,16C
129,42,15145.67,301.021,16,4,16C
130,42,12692.4,209.891,16,4,16C
131,43,12104.26,232.221,16,4,16C
132,43,12694.31,278.125,16,4,16C
133,44,1806.39,22.254,2,1,2C
134,44,1553.24,25.31,2,1,2C
135,45,2826.21,42.168,4,2,4C
136,45,7971.24,80.001,8,3,8C
137,46,5703.25,135.132,8,3,8C
138,46,6194.44,155.73,8,3,8C
139,46,5909.44,121.94,8,3,8C
140,47,3306.46,63.947,4,2,4C
141,47,3371.18,44.101,4,2,4C
142,47,3338.1,56.644,4,2,4C
143,48,1688.01,19.171,2,1,2C
144,48,1911.52,22.071,2,1,2C
145,48,1228.12,27.638,2,1,2C
146,49,2974.23,43.679,4,2,4C
147,49,3640.32,46.887,4,2,4C
148,49,2985.9,63.668,4,2,4C
149,49,2967.69,61.594,4,2,4C
150,50,9773.64,337.347,16,4,16C
151,50,14210.45,222.475,16,4,16C
152,50,13722.18,340.854,16,4,16C
153,50,10275.13,179.292,16,4,16C
154,51,2859.76,41.242,4,2,4C
155,51,3189.65,76.051,4,2,4C
156,52,2801.46,70.403,4,2,4C
157,52,2800.36,52.592,4,2,4C
158,53,7882.36,102.528,8,3,8C
159,53,5814.13,73.837,8,3,8C
160,53,6334.84,111.241,8,3,8C
161,54,3359.68,55.526,4,2,4C
162,54,2378.9,27.169,2,2,4C
163,55,1682.15,22.257,2,1,2C
164,55,1668.5,29.583,2,1,2C
165,55,2982.82,45.459,4,2,4C
166,55,3080.21,58.957,4,2,4C
167,56,5339.9,97.795,8,3,8C
168,56,2340.18,57.139,4,2,4C
169,57,1425.97,26.387,2,1,2C
170,57,1728.29,21.484,2,1,2C
171,57,1744.39,27.141,2,1,2C
172,58,7387.61,118.151,8,3,8C
173,58,14571.48,193.997,16,4,16C
174,59,5177.62,126.07,8,3,8C
175,59,2038.82,29.478,2,1,2C
176,60,1077.64,30.423,2,1,2C
177,60,2692.35,48.699,4,2,4C
178,60,3180.45,59.44,4,2,4C
179,60,2264.95,27.371,2,1,2C
180,61,7341.09,122.188,8,3,8C
181,61,6936.28,139.401,8,3,8C
182,62,1888.48,35.439,2,1,2C
183,62,3215.82,60.645,4,2,4C
184,63,6732.84,119.863,8,3,8C
185,63,5009.52,103.355,8,3,8C
186,63,6104.02,92.608,8,3,8C
187,63,4531.35,104.045,8,2,4C
188,64,13563.63,264.58,16,4,16C
189,64,6649.26,126.217,8,3,8C
190,64,18470.99,287.538,16,4,16C
191,64,14359.7,266.34,16,4,16C
192,65,4836.13,54.072,4,3,8C
193,65,3370.51,58.499,4,2,4C
194,65,4329.93,55.628,4,2,4C
195,65,4429.38,45.272,4,2,4C
196,66,8207.67,80.352,8,3,8C
197,66,7225.06,96.891,8,3,8C
198,67,3121.13,70.226,4,2,4C
199,67,4141.81,45.823,4,2,4C
200,68,7679.11,118.595,8,3,8C
201,68,3444.89,51.835,4,2,4C
202,68,1766.7,34.25,2,1,2C
203,68,6283.15,146.199,8,3,8C
204,69,8961.57,108.976,8,3,8C
205,69,3472.29,61.848,4,2,4C
206,69,5056.13,81.648,8,3,8C
207,70,1766.3,32.086,2,1,2C
208,70,1859.67,23.021,2,1,2C
209,70,1413.73,35.916,2,1,2C
210,70,2976.36,51.823,4,2,4C
